tarih,haftanin_gunu,city_code,magaza_no,magaza_alani,saat,nem,fis_sayisi,store_avrg_temp,outside_temp
2021-08-01,7.0,34.0,2177.0,1275.0,0.0,58.0,0.0,29.31,28.0
2021-08-01,7.0,34.0,2177.0,1275.0,1.0,58.0,0.0,29.31,28.0
2021-08-01,7.0,34.0,2177.0,1275.0,2.0,58.0,0.0,29.23,28.0
2021-08-01,7.0,34.0,2177.0,1275.0,3.0,58.0,0.0,29.18,26.0
2021-08-01,7.0,34.0,2177.0,1275.0,4.0,58.0,0.0,29.22,26.0
2021-08-01,7.0,34.0,2177.0,1275.0,5.0,58.0,0.0,29.29,25.0
2021-08-01,7.0,34.0,2177.0,1275.0,6.0,58.0,0.0,30.19,26.0
2021-08-01,7.0,34.0,2177.0,1275.0,7.0,58.0,1.0,30.87,27.0
2021-08-01,7.0,34.0,2177.0,1275.0,8.0,58.0,35.0,29.21,28.0
2021-08-01,7.0,34.0,2177.0,1275.0,9.0,58.0,97.0,28.73,30.0
2021-08-01,7.0,34.0,2177.0,1275.0,10.0,58.0,117.0,28.72,31.0
2021-08-01,7.0,34.0,2177.0,1275.0,11.0,58.0,95.0,28.73,33.0
2021-08-01,7.0,34.0,2177.0,1275.0,12.0,58.0,110.0,28.9,34.0
2021-08-01,7.0,34.0,2177.0,1275.0,13.0,58.0,114.0,28.99,33.0
2021-08-01,7.0,34.0,2177.0,1275.0,14.0,58.0,136.0,29.11,33.0
2021-08-01,7.0,34.0,2177.0,1275.0,15.0,58.0,132.0,29.28,34.0
2021-08-01,7.0,34.0,2177.0,1275.0,16.0,58.0,112.0,29.22,34.0
2021-08-01,7.0,34.0,2177.0,1275.0,17.0,58.0,128.0,29.11,34.0
2021-08-01,7.0,34.0,2177.0,1275.0,18.0,58.0,132.0,29.07,33.0
2021-08-01,7.0,34.0,2177.0,1275.0,19.0,58.0,113.0,28.89,31.0
2021-08-01,7.0,34.0,2177.0,1275.0,20.0,58.0,105.0,28.57,30.0
2021-08-01,7.0,34.0,2177.0,1275.0,21.0,58.0,81.0,28.41,29.0
2021-08-01,7.0,34.0,2177.0,1275.0,22.0,58.0,3.0,28.12,29.0
2021-08-01,7.0,34.0,2177.0,1275.0,23.0,58.0,0.0,27.28,28.0
2021-08-02,1.0,34.0,2177.0,1275.0,0.0,57.0,0.0,26.93,28.0
